Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		E2		Off		E3		Off		Off		Off		
(ms)		(V)		(A)		(V)		()		(V)		()		()		()		
12.891		-167.1		0.000		199.1				-168.5								
12.988		-173.7		-0.017		193.0				-172.8								
13.086		-175.9		-0.011		185.6				-174.9								
13.184		-178.9		-0.015		179.9				-179.7								
13.281		-181.6		-0.021		178.1				-181.0								
13.379		-186.4		-0.015		172.9				-187.0								
13.477		-186.8		-0.019		169.8				-189.2								
13.574		-194.3		-0.021		165.9				-190.9								
13.672		-194.3		-0.004		161.5				-193.1								
13.770		-196.1		-0.011		154.9				-197.0								
13.867		-197.8		-0.011		153.6				-197.8								
13.965		-201.3		-0.017		148.8				-200.4								
14.063		-203.9		-0.008		145.3				-204.3								
14.160		-203.1		-0.006		140.0				-203.9								
14.258		-206.1		0.002		134.8				-205.2								
14.355		-205.7		-0.011		128.2				-206.0								
14.453		-206.1		0.006		127.8				-204.3								
14.551		-207.9		0.000		121.2				-204.3								
14.648		-208.8		-0.004		116.8				-205.6								
14.746		-207.9		-0.008		108.5				-208.2								
14.844		-208.3		-0.019		106.3				-208.6								
14.941		-210.5		0.000		105.5				-210.8								
15.039		-210.1		-0.017		110.7				-207.3								
15.137		-211.8		-0.017		118.6				-207.3								
15.234		-208.3		-0.008		122.1				-207.8								
15.332		-209.2		-0.015		125.6				-211.7								
15.430		-211.0		-0.002		130.4				-209.1								
15.527		-211.0		0.002		134.8				-209.9								
15.625		-211.0		-0.006		136.5				-209.9								
15.723		-209.6		-0.008		146.2				-209.1								
15.820		-210.5		0.000		146.6				-206.5								
15.918		-207.5		-0.017		151.4				-204.8								
16.016		-204.8		0.004		157.5				-202.6								
16.113		-203.5		-0.017		158.4				-200.0								
16.211		-196.9		-0.006		163.7				-195.7								
16.309		-192.5		-0.008		168.5				-190.5								
16.406		-188.6		-0.015		173.3				-187.5								
16.504		-181.6		-0.008		177.2				-185.7								
16.602		-178.5		-0.006		182.1				-174.5								
16.699		-175.0		-0.002		183.8				-174.1								
16.797		-173.2		-0.008		187.3				-169.3								
16.895		-166.7		-0.011		187.7				-165.0								
16.992		-163.6		-0.015		190.4				-160.7								
17.090		-159.6		-0.015		193.9				-159.8								
17.188		-154.8		0.000		200.4				-153.8								
17.285		-147.8		-0.011		199.6				-147.7								
17.383		-148.7		-0.019		199.1				-145.6								
17.480		-142.5		-0.011		202.2				-138.7								
17.578		-136.8		0.004		203.9				-134.8								
17.676		-131.6		-0.019		206.1				-128.7								
17.773		-126.3		-0.004		204.4				-126.1								
17.871		-124.6		-0.023		204.4				-120.5								
17.969		-118.9		-0.008		207.0				-117.9								
18.066		-114.0		-0.017		207.0				-113.6								
18.164		-109.6		0.000		207.4				-107.6								
18.262		-104.4		-0.004		205.3				-111.4								
18.359		-100.4		-0.006		206.6				-115.8								
18.457		-94.3		-0.019		205.3				-119.7								
18.555		-88.6		-0.011		207.9				-126.1								
18.652		-85.1		0.000		208.8				-130.5								
18.750		-79.4		0.000		209.6				-134.8								
18.848		-72.8		-0.004		204.4				-139.1								
18.945		-69.7		-0.006		206.1				-142.1								
19.043		-59.2		-0.006		208.8				-145.6								
19.141		-53.9		-0.015		203.9				-151.6								
19.238		-47.4		-0.015		205.7				-155.9								
19.336		-42.1		-0.002		206.6				-158.5								
19.434		-32.5		-0.011		200.9				-165.0								
19.531		-25.9		-0.004		197.8				-167.2								
19.629		-16.7		-0.013		192.6				-171.5								
19.727		-13.2		-0.008		189.9				-175.8								
19.824		-5.7		0.000		185.6				-179.7								
19.922		-0.4		-0.006		175.9				-181.9								
20.020		7.0		-0.006		175.5				-187.0								
20.117		17.5		-0.006		168.9				-189.6								
20.215		24.1		-0.004		165.4				-190.9								
20.313		28.9		-0.015		160.6				-196.5								
20.410		34.2		-0.017		156.2				-198.3								
