Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		E2		I2		E3		I3		E4		I4		
(ms)		(V)		(A)		(V)		(A)		(V)		(A)		(V)		(A)		
7.520		139.1		0.198		67.9		-0.011		-208.5		-0.011		135.7		0.209		
7.617		134.2		0.202		76.6		-0.008		-209.4		0.004		132.6		0.205		
7.715		132.5		0.200		83.6		0.006		-209.9		-0.006		130.0		0.207		
7.813		128.9		0.179		84.9		0.000		-211.6		0.000		126.5		0.188		
7.910		121.0		0.167		92.8		-0.002		-212.0		-0.006		122.2		0.186		
8.008		120.6		0.173		97.6		0.000		-215.6		-0.006		119.6		0.179		
8.105		111.8		0.152		102.5		0.000		-212.9		-0.002		113.0		0.173		
8.203		108.3		0.158		106.4		-0.002		-210.3		0.004		110.0		0.171		
8.301		110.0		0.027		106.0		0.152		-213.4		0.002		107.8		0.160		
8.398		101.2		-0.002		117.4		0.167		-210.7		0.006		115.7		0.177		
8.496		93.7		0.006		117.8		0.177		-211.6		0.008		119.6		0.177		
8.594		91.5		-0.002		124.8		0.186		-211.6		0.004		127.0		0.175		
8.691		84.9		0.000		130.9		0.203		-216.9		-0.004		127.8		0.188		
8.789		81.0		-0.004		133.1		0.203		-215.1		0.008		132.2		0.190		
8.887		77.4		-0.011		134.4		0.203		-215.1		0.004		136.1		0.203		
8.984		68.6		-0.006		138.8		0.205		-212.0		0.002		140.4		0.214		
9.082		64.2		0.000		143.2		0.205		-213.8		0.000		144.3		0.220		
9.180		57.2		-0.008		144.5		0.215		-213.8		-0.002		145.7		0.218		
9.277		49.7		0.000		149.8		0.234		-212.9		-0.017		149.6		0.231		
9.375		39.2		0.002		153.7		0.228		-209.0		-0.019		155.2		0.235		
9.473		36.5		0.000		161.6		0.234		-206.8		-0.006		160.4		0.246		
9.570		29.5		-0.006		162.5		0.241		-201.1		0.011		165.7		0.250		
9.668		20.7		0.000		168.1		0.239		-198.0		-0.006		164.3		0.250		
9.766		16.3		-0.004		171.6		0.253		-193.2		-0.011		171.7		0.237		
9.863		7.5		-0.004		176.9		0.268		-187.5		0.004		176.5		0.261		
9.961		0.0		-0.013		178.7		0.268		-183.1		0.000		180.4		0.265		
10.059		-11.0		0.002		183.5		0.262		-177.4		-0.013		184.3		0.276		
10.156		-16.3		-0.011		187.4		0.277		-173.1		-0.002		190.9		0.267		
10.254		-23.8		-0.006		191.8		0.285		-165.6		-0.002		189.1		0.284		
10.352		-32.6		-0.002		196.6		0.289		-162.5		-0.013		195.2		0.288		
10.449		-37.4		-0.006		197.5		0.291		-158.2		0.002		197.8		0.295		
10.547		-47.1		-0.017		197.5		0.289		-156.8		0.002		200.0		0.297		
10.645		-52.4		-0.004		201.9		0.306		-151.2		-0.013		200.0		0.299		
