Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		E2		I2		E3		I3		E4		I4		
(ms)		(V)		(A)		(V)		(A)		(V)		(A)		(V)		(A)		
7.422		142.1		0.255		64.8		-0.004		-206.4		-0.262		346.1		0.250		
7.520		137.3		0.255		70.5		0.002		-208.5		-0.253		342.6		0.256		
7.617		133.3		0.245		77.5		0.002		-210.3		-0.253		341.7		0.241		
7.715		128.9		0.240		81.4		-0.006		-212.0		-0.256		338.3		0.248		
7.813		127.6		0.242		88.9		0.000		-211.2		-0.245		335.2		0.244		
7.910		122.3		0.242		95.0		0.008		-209.9		-0.262		332.6		0.244		
8.008		117.9		0.240		100.7		0.011		-212.9		-0.253		324.3		0.239		
8.105		111.8		0.236		105.5		-0.011		-214.2		-0.241		323.0		0.239		
8.203		106.5		0.192		107.3		0.040		-212.5		-0.222		319.6		0.246		
8.301		110.0		-0.036		106.8		0.279		-211.6		-0.234		330.4		0.231		
8.398		100.8		-0.008		116.9		0.232		-212.0		-0.245		330.4		0.239		
8.496		96.4		-0.002		122.2		0.243		-213.8		-0.253		335.7		0.229		
8.594		87.6		-0.011		125.7		0.264		-212.5		-0.258		340.9		0.252		
8.691		81.0		0.000		127.9		0.253		-212.9		-0.264		343.9		0.254		
8.789		81.8		-0.011		131.4		0.262		-214.7		-0.251		345.7		0.254		
8.887		76.1		-0.004		135.7		0.247		-214.7		-0.262		350.0		0.261		
8.984		67.3		-0.015		140.6		0.255		-215.1		-0.260		352.2		0.271		
9.082		61.6		0.000		144.1		0.260		-214.2		-0.266		354.8		0.261		
9.180		53.2		0.004		148.0		0.255		-213.8		-0.277		360.4		0.256		
9.277		46.6		0.002		153.3		0.277		-210.3		-0.262		364.8		0.267		
9.375		40.0		0.000		155.9		0.270		-209.9		-0.272		367.0		0.261		
9.473		31.7		-0.006		159.8		0.258		-204.2		-0.277		369.1		0.271		
9.570		25.1		0.008		168.1		0.268		-200.7		-0.287		366.1		0.267		
9.668		18.0		0.000		169.0		0.270		-194.5		-0.275		363.9		0.269		
9.766		12.3		-0.008		171.2		0.262		-191.5		-0.272		363.0		0.269		
9.863		4.4		-0.011		174.7		0.262		-183.1		-0.270		359.1		0.265		
9.961		-3.1		0.011		182.2		0.260		-179.6		-0.260		358.3		0.256		
10.059		-10.1		0.004		185.7		0.262		-172.6		-0.266		360.9		0.261		
10.156		-18.9		-0.004		189.6		0.268		-170.4		-0.272		357.8		0.274		
10.254		-25.5		-0.013		193.5		0.255		-166.5		-0.268		355.7		0.267		
10.352		-37.0		-0.006		198.4		0.253		-159.0		-0.266		358.7		0.263		
10.449		-39.6		-0.011		198.4		0.264		-158.2		-0.262		353.0		0.254		
10.547		-48.0		0.000		201.0		0.262		-152.9		-0.256		351.7		0.261		
10.645		-58.5		-0.011		200.1		0.264		-149.0		-0.258		350.9		0.263		
10.742		-62.5		-0.013		202.3		0.253		-143.7		-0.256		350.0		0.267		
10.840		-70.0		-0.002		205.8		0.247		-138.0		-0.260		343.5		0.254		
10.938		-76.1		-0.002		205.8		0.241		-134.1		-0.256		339.6		0.241		
11.035		-83.2		-0.015		208.9		0.243		-133.2		-0.237		340.9		0.241		
11.133		-92.0		-0.008		210.6		0.243		-121.4		-0.249		334.3		0.241		
11.230		-95.5		-0.004		211.1		0.241		-121.8		-0.237		329.6		0.235		
11.328		-100.8		-0.013		212.4		0.241		-113.9		-0.243		326.5		0.241		
11.426		-103.4		-0.011		210.2		0.236		-112.6		-0.237		319.1		0.241		
11.523		-110.0		-0.046		211.1		0.232		-107.3		-0.180		321.7		0.239		
11.621		-114.4		-0.245		212.8		0.243		-104.7		0.002		326.1		0.231		
11.719		-119.3		-0.240		213.2		0.232		-99.5		0.002		331.7		0.248		
11.816		-123.7		-0.253		214.6		0.239		-92.4		-0.002		337.4		0.244		
