Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		E2		I2		E3		I3		E4		I4		
(ms)		(V)		(A)		(V)		(A)		(V)		(A)		(V)		(A)		
7.520		139.1		0.200		71.8		-0.004		-207.7		-0.004		140.4		0.203		
7.617		132.5		0.196		76.6		0.002		-211.2		-0.006		131.7		0.194		
7.715		128.9		0.188		85.4		0.000		-210.7		-0.013		127.4		0.184		
7.813		126.3		0.188		88.0		0.013		-210.7		-0.017		122.6		0.179		
7.910		119.7		0.183		95.0		0.008		-211.6		-0.002		121.7		0.169		
8.008		114.0		0.173		101.6		-0.006		-212.0		-0.011		113.5		0.165		
8.105		111.8		0.162		105.1		-0.006		-215.6		0.011		111.3		0.162		
8.203		106.9		0.105		109.0		0.072		-216.4		0.000		107.4		0.165		
8.301		102.5		-0.002		114.3		0.158		-214.7		0.002		116.1		0.158		
8.398		99.4		0.000		119.5		0.186		-214.2		-0.004		123.0		0.177		
8.496		94.6		-0.008		122.2		0.182		-216.4		0.000		125.7		0.190		
8.594		84.9		0.004		126.5		0.194		-216.9		0.002		129.1		0.197		
8.691		81.4		0.002		130.9		0.188		-214.2		-0.011		133.5		0.197		
8.789		77.0		0.000		134.4		0.211		-215.6		-0.013		139.1		0.209		
8.887		72.2		-0.015		136.6		0.207		-217.3		0.000		141.7		0.203		
8.984		69.5		0.006		141.4		0.215		-214.2		0.002		140.9		0.214		
9.082		58.5		0.004		150.2		0.220		-213.8		-0.011		148.7		0.218		
9.180		50.6		0.006		151.1		0.228		-215.1		-0.004		148.7		0.231		
9.277		44.4		-0.002		155.9		0.247		-209.9		-0.004		156.1		0.229		
9.375		36.1		-0.004		160.7		0.243		-209.9		-0.006		161.7		0.229		
9.473		28.6		0.004		163.3		0.243		-205.0		-0.006		163.5		0.244		
9.570		20.7		0.000		165.5		0.253		-201.1		-0.002		167.0		0.256		
9.668		15.0		-0.002		175.6		0.258		-195.8		-0.008		173.0		0.265		
9.766		9.2		-0.013		174.3		0.262		-191.5		-0.015		174.3		0.263		
9.863		3.5		-0.008		178.7		0.272		-184.4		0.004		181.7		0.278		
9.961		-5.7		-0.013		183.9		0.270		-177.4		-0.006		185.7		0.271		
10.059		-9.7		-0.002		186.1		0.285		-177.4		0.002		188.3		0.288		
10.156		-19.4		0.000		189.6		0.285		-173.9		-0.006		192.2		0.274		
10.254		-30.4		-0.011		196.6		0.296		-168.2		-0.006		194.8		0.280		
10.352		-33.9		-0.004		199.2		0.287		-159.9		-0.013		197.4		0.293		
10.449		-44.9		-0.006		201.9		0.287		-155.1		0.013		199.6		0.297		
10.547		-51.5		0.000		201.4		0.298		-153.8		-0.006		202.2		0.301		
10.645		-60.3		-0.004		201.9		0.296		-149.0		-0.008		204.3		0.284		
10.742		-65.6		-0.004		205.8		0.306		-141.9		0.002		206.1		0.312		
10.840		-72.6		-0.013		204.1		0.310		-139.3		0.000		208.7		0.316		
10.938		-79.2		0.000		208.9		0.312		-133.6		-0.008		209.1		0.303		
11.035		-84.5		0.002		208.9		0.319		-126.2		-0.004		213.0		0.301		
11.133		-89.3		0.004		209.7		0.302		-124.9		0.000		212.6		0.316		
11.230		-95.9		0.002		212.8		0.319		-119.6		-0.002		212.2		0.306		
11.328		-102.1		-0.002		208.9		0.317		-117.4		-0.008		210.0		0.329		
11.426		-106.1		-0.002		213.2		0.310		-113.0		-0.002		213.9		0.321		
11.523		-111.8		-0.004		212.8		0.310		-104.3		-0.017		210.9		0.314		
11.621		-117.5		-0.017		212.4		0.315		-101.2		0.004		213.0		0.314		
11.719		-120.6		-0.011		214.6		0.308		-97.3		0.004		212.2		0.321		
11.816		-124.5		-0.011		214.1		0.323		-95.1		0.004		213.9		0.323		
11.914		-128.9		-0.013		212.4		0.312		-89.4		-0.015		210.9		0.321		
12.012		-131.6		0.000		213.2		0.308		-80.2		-0.008		214.3		0.310		
12.109		-134.7		-0.004		210.6		0.323		-78.4		0.006		210.0		0.316		
12.207		-141.3		-0.013		214.6		0.323		-70.1		0.006		212.6		0.318		
12.305		-144.3		-0.002		210.6		0.312		-65.7		-0.008		214.3		0.310		
12.402		-146.5		-0.002		210.6		0.310		-57.4		-0.008		211.3		0.321		
12.500		-151.4		-0.008		208.4		0.312		-53.9		-0.013		208.7		0.314		
12.598		-154.9		-0.006		209.7		0.323		-42.1		-0.002		207.8		0.297		
12.695		-161.9		-0.008		203.6		0.308		-35.5		-0.002		206.1		0.318		
12.793		-166.3		-0.004		200.1		0.300		-29.8		-0.008		201.3		0.310		
12.891		-170.7		-0.006		191.8		0.279		-24.5		0.002		193.0		0.299		
12.988		-170.3		0.000		189.2		0.287		-18.4		-0.006		192.2		0.278		
13.086		-176.9		0.004		185.7		0.268		-8.8		-0.002		185.2		0.284		
13.184		-179.5		-0.015		180.4		0.266		-3.5		-0.002		180.9		0.269		
13.281		-183.5		-0.002		179.5		0.262		7.9		-0.004		180.9		0.280		
13.379		-187.0		-0.015		171.2		0.270		14.9		-0.015		174.3		0.259		
13.477		-191.0		0.004		169.9		0.243		22.3		-0.004		169.6		0.256		
13.574		-194.9		0.015		164.6		0.249		33.3		-0.002		165.7		0.250		
13.672		-196.7		-0.004		160.3		0.236		35.0		0.006		163.5		0.254		
13.770		-202.4		-0.011		152.8		0.239		43.8		0.004		157.8		0.235		
13.867		-202.0		0.002		154.1		0.224		50.8		0.013		151.3		0.222		
13.965		-202.0		-0.004		147.6		0.211		57.4		0.004		146.1		0.235		
14.063		-205.1		0.004		141.4		0.209		63.5		0.008		142.2		0.201		
14.160		-210.3		-0.006		137.1		0.205		68.8		0.000		137.0		0.205		
14.258		-208.6		0.002		132.2		0.175		78.9		0.000		131.3		0.203		
