Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		I1		E2		Off		E3		Off		Off		Off		
(ms)		(V)		(A)		(V)		()		(V)		()		()		()		
12.988		-168.9		-0.008		212.3				-200.9								
13.086		-172.8		-0.008		215.8				-202.6								
13.184		-178.1		-0.015		212.7				-204.8								
13.281		-180.7		-0.011		211.4				-203.5								
13.379		-184.6		-0.013		213.1				-203.9								
13.477		-189.0		-0.002		212.3				-200.4								
13.574		-192.5		-0.004		213.1				-203.5								
13.672		-193.4		-0.008		209.2				-200.4								
13.770		-193.4		0.000		213.6				-200.4								
13.867		-199.6		-0.006		213.6				-205.6								
13.965		-198.7		-0.015		211.8				-202.6								
14.063		-201.8		-0.017		210.1				-200.9								
14.160		-201.8		-0.011		212.7				-201.7								
14.258		-201.3		-0.015		210.1				-200.4								
14.355		-203.5		-0.015		212.3				-203.5								
14.453		-204.8		-0.023		213.1				-200.9								
14.551		-204.8		-0.006		210.1				-204.3								
14.648		-205.3		0.002		210.5				-203.5								
14.746		-205.7		-0.004		209.6				-204.8								
14.844		-204.4		-0.002		213.6				-203.5								
14.941		-207.5		-0.021		211.8				-204.3								
15.039		-207.5		-0.004		210.5				-204.3								
15.137		-204.4		-0.013		212.3				-206.0								
15.234		-208.8		-0.013		209.2				-209.5								
15.332		-211.0		0.000		210.9				-210.4								
15.430		-207.9		0.002		211.8				-208.6								
15.527		-210.1		-0.008		210.1				-211.7								
15.625		-211.0		0.004		212.7				-209.1								
15.723		-213.2		-0.004		209.2				-209.1								
15.820		-211.8		-0.004		211.4				-210.4								
15.918		-214.5		-0.019		209.2				-209.9								
16.016		-206.1		-0.011		209.2				-209.5								
16.113		-202.6		-0.011		211.4				-208.2								
16.211		-197.4		-0.011		211.4				-209.9								
16.309		-193.9		-0.004		208.3				-211.7								
16.406		-189.5		-0.006		209.2				-208.6								
16.504		-185.1		-0.006		209.6				-210.8								
16.602		-180.3		-0.015		207.9				-211.2								
16.699		-175.9		0.002		208.3				-210.4								
16.797		-170.6		-0.015		205.7				-209.5								
16.895		-167.5		0.000		210.5				-210.4								
16.992		-160.5		0.004		210.1				-208.6								
17.090		-158.3		-0.023		209.2				-208.6								
