4384, 98.57, 0.21, 40.33, 100.00
4419, 98.49, -0.13, 40.36, 100.00
4456, 98.46, -0.06, 40.39, 100.00
4492, 98.58, 0.21, 40.42, 100.00
4528, 98.40, -0.30, 40.46, 100.00
4563, 98.73, 0.56, 40.49, 100.00
4599, 98.64, -0.15, 40.52, 100.00
4636, 98.78, 0.24, 40.54, 100.00
4671, 98.69, -0.16, 40.57, 100.00
4708, 98.83, 0.23, 40.60, 100.00
4743, 98.73, -0.16, 40.63, 100.00
4780, 98.84, 0.17, 40.65, 100.00
4814, 98.94, 0.17, 40.68, 100.00
4850, 99.06, 0.21, 40.70, 100.00
4885, 98.95, -0.19, 40.72, 100.00
4922, 99.07, 0.20, 40.74, 100.00
4957, 98.95, -0.19, 40.76, 100.00
4994, 98.89, -0.11, 40.79, 100.00
5029, 99.18, 0.50, 40.81, 100.00
5065, 99.09, -0.15, 40.83, 100.00
5101, 99.17, 0.13, 40.85, 100.00
5137, 99.05, -0.20, 40.87, 100.00
5174, 99.16, 0.19, 40.88, 100.00
5209, 99.04, -0.20, 40.91, 100.00
5245, 99.36, 0.54, 40.92, 100.00
5280, 99.23, -0.22, 40.94, 100.00
5317, 99.23, 0.01, 40.95, 100.00
5352, 99.07, -0.26, 40.97, 100.00
5389, 98.96, -0.18, 41.00, 100.00
5425, 99.05, 0.15, 41.02, 100.00
5460, 99.24, 0.31, 41.04, 100.00
5495, 99.44, 0.35, 41.05, 100.00
5531, 99.49, 0.09, 41.06, 100.00
5566, 99.71, 0.37, 41.07, 100.00
5602, 99.72, 0.01, 41.07, 100.00
5638, 99.92, 0.35, 41.07, 100.00
5672, 100.14, 0.38, 41.07, 100.00
5709, 100.34, 0.33, 41.06, 100.00
5745, 100.33, -0.01, 41.06, 100.00
5783, 100.52, 0.30, 41.04, 100.00
5819, 100.50, -0.03, 41.03, 100.00
5857, 100.48, -0.03, 41.02, 100.00
5894, 100.65, 0.28, 41.01, 100.00
5931, 100.62, -0.05, 40.99, 100.00
5968, 100.92, 0.50, 40.97, 100.00
6004, 100.71, -0.33, 40.96, 100.00
6042, 100.71, -0.00, 40.94, 100.00
6079, 100.52, -0.30, 40.93, 100.00
6117, 100.50, -0.03, 40.92, 100.00
6154, 100.27, -0.37, 40.91, 100.00
6192, 100.11, -0.25, 40.91, 100.00
6228, 100.31, 0.34, 40.90, 100.00
6265, 100.15, -0.27, 40.90, 100.00
6303, 100.19, 0.06, 40.90, 100.00
6339, 100.00, -0.30, 40.90, 100.00
6377, 100.05, 0.08, 40.90, 100.00
6413, 99.87, -0.29, 40.90, 100.00
6450, 99.89, 0.04, 40.90, 100.00
6484, 99.95, 0.10, 40.90, 100.00
6520, 99.78, -0.29, 40.91, 100.00
6556, 99.81, 0.05, 40.91, 100.00
6592, 99.67, -0.22, 40.92, 100.00
6628, 99.71, 0.06, 40.93, 100.00
6664, 99.55, -0.26, 40.94, 100.00
6700, 99.63, 0.13, 40.94, 100.00
6735, 99.68, 0.07, 40.95, 100.00
6771, 99.71, 0.07, 40.96, 100.00
6806, 99.59, -0.21, 40.97, 100.00
6843, 99.63, 0.07, 40.97, 100.00
6878, 99.41, -0.36, 40.99, 100.00
6915, 99.41, -0.01, 41.00, 100.00
6950, 99.53, 0.20, 41.01, 100.00
6986, 99.54, 0.03, 41.02, 100.00
7021, 99.76, 0.37, 41.03, 100.00
7057, 99.76, 0.00, 41.03, 100.00
7092, 99.99, 0.40, 41.03, 100.00
7128, 99.98, -0.03, 41.03, 100.00
7163, 100.36, 0.66, 41.02, 100.00
7200, 100.35, -0.02, 41.02, 100.00
7238, 100.56, 0.34, 41.00, 100.00
7274, 100.51, -0.09, 40.99, 100.00
7312, 100.62, 0.17, 40.98, 100.00
7348, 100.43, -0.30, 40.97, 100.00
7386, 100.26, -0.27, 40.96, 100.00
7422, 100.49, 0.37, 40.95, 100.00
7459, 100.31, -0.29, 40.95, 100.00
7496, 100.31, -0.01, 40.94, 100.00
7534, 100.15, -0.25, 40.94, 100.00
7572, 100.18, 0.06, 40.93, 100.00
